tourney_name,round,winner_name,loser_name,surface,total_ServiceGames,total_aces
Rome Masters,QF,Holger Rune,Novak Djokovic,Clay,26,7
Rome Masters,QF,Casper Ruud,Francisco Cerundolo,Clay,22,6
Rome Masters,QF,Daniil Medvedev,Yannick Hanfmann,Clay,16,8
Rome Masters,QF,Stefanos Tsitsipas,Borna Coric,Clay,19,4
Rome Masters,R16,Novak Djokovic,Cameron Norrie,Clay,19,7
Rome Masters,R16,Holger Rune,Alexei Popyrin,Clay,32,13
Rome Masters,R16,Casper Ruud,Laslo Djere,Clay,16,9
Rome Masters,R16,Francisco Cerundolo,Jannik Sinner,Clay,28,4
Rome Masters,R16,Yannick Hanfmann,Andrey Rublev,Clay,31,24
Rome Masters,R16,Daniil Medvedev,Alexander Zverev,Clay,20,8
Rome Masters,R16,Stefanos Tsitsipas,Lorenzo Musetti,Clay,24,3
Rome Masters,R16,Borna Coric,Fabian Marozsan,Clay,28,12
Rome Masters,R32,Novak Djokovic,Grigor Dimitrov,Clay,26,14
Rome Masters,R32,Cameron Norrie,Marton Fucsovics,Clay,20,7
Rome Masters,R32,Alexei Popyrin,Roman Safiullin,Clay,24,6
Rome Masters,R32,Holger Rune,Fabio Fognini,Clay,18,4
Rome Masters,R32,Casper Ruud,Alexander Bublik,Clay,29,17
Rome Masters,R32,Laslo Djere,Cristian Garin,Clay,12,4
Rome Masters,R32,Francisco Cerundolo,Gregoire Barrere,Clay,28,5
Rome Masters,R32,Jannik Sinner,Alexander Shevchenko,Clay,29,5
Rome Masters,R32,Andrey Rublev,Alejandro Davidovich Fokina,Clay,21,6
Rome Masters,R32,Yannick Hanfmann,Marco Cecchinato,Clay,29,10
Rome Masters,R32,Alexander Zverev,J J Wolf,Clay,22,13
Rome Masters,R32,Daniil Medvedev,Bernabe Zapata Miralles,Clay,25,8
Rome Masters,R32,Stefanos Tsitsipas,Lorenzo Sonego,Clay,21,5
Rome Masters,R32,Lorenzo Musetti,Frances Tiafoe,Clay,31,13
Rome Masters,R32,Borna Coric,Roberto Carballes Baena,Clay,19,6
Rome Masters,R32,Fabian Marozsan,Carlos Alcaraz,Clay,21,7
Rome Masters,R64,Novak Djokovic,Tomas Martin Etcheverry,Clay,20,5
Rome Masters,R64,Grigor Dimitrov,Stan Wawrinka,Clay,22,6
Rome Masters,R64,Marton Fucsovics,Alex De Minaur,Clay,19,1
Rome Masters,R64,Cameron Norrie,Alexandre Muller,Clay,17,4
Rome Masters,R64,Alexei Popyrin,Felix Auger Aliassime,Clay,32,15
Rome Masters,R64,Roman Safiullin,Sebastian Korda,Clay,20,11
Rome Masters,R64,Fabio Fognini,Miomir Kecmanovic,Clay,21,8
Rome Masters,R64,Holger Rune,Arthur Fils,Clay,18,3
Rome Masters,R64,Casper Ruud,Arthur Rinderknech,Clay,16,3
Rome Masters,R64,Alexander Bublik,Ben Shelton,Clay,25,15
Rome Masters,R64,Laslo Djere,Botic Van De Zandschulp,Clay,18,1
Rome Masters,R64,Cristian Garin,Tommy Paul,Clay,29,5
Rome Masters,R64,Gregoire Barrere,Karen Khachanov,Clay,32,15
Rome Masters,R64,Francisco Cerundolo,Yibing Wu,Clay,27,6
Rome Masters,R64,Alexander Shevchenko,Sebastian Baez,Clay,19,3
Rome Masters,R64,Jannik Sinner,Thanasi Kokkinakis,Clay,17,5
Rome Masters,R64,Andrey Rublev,Alex Molcan,Clay,19,4
Rome Masters,R64,Alejandro Davidovich Fokina,Guido Pella,Clay,18,2
Rome Masters,R64,Marco Cecchinato,Roberto Bautista Agut,Clay,16,2
Rome Masters,R64,Yannick Hanfmann,Taylor Fritz,Clay,17,3
Rome Masters,R64,J J Wolf,Hubert Hurkacz,Clay,19,10
Rome Masters,R64,Alexander Zverev,David Goffin,Clay,31,9
Rome Masters,R64,Bernabe Zapata Miralles,Jason Kubler,Clay,17,0
Rome Masters,R64,Daniil Medvedev,Emil Ruusuvuori,Clay,18,6
Rome Masters,R64,Stefanos Tsitsipas,Nuno Borges,Clay,18,5
Rome Masters,R64,Lorenzo Sonego,Yoshihito Nishioka,Clay,21,6
Rome Masters,R64,Lorenzo Musetti,Matteo Arnaldi,Clay,20,1
Rome Masters,R64,Frances Tiafoe,Daniel Altmaier,Clay,30,15
Rome Masters,R64,Borna Coric,Thiago Monteiro,Clay,34,18
Rome Masters,R64,Roberto Carballes Baena,Daniel Evans,Clay,34,9
Rome Masters,R64,Fabian Marozsan,Jiri Lehecka,Clay,29,3
Rome Masters,R64,Carlos Alcaraz,Albert Ramos,Clay,17,4
Rome Masters,R128,Tomas Martin Etcheverry,Luca Van Assche,Clay,21,10
Rome Masters,R128,Stan Wawrinka,Ilya Ivashka,Clay,18,7
Rome Masters,R128,Marton Fucsovics,Filip Krajinovic,Clay,18,2
Rome Masters,R128,Alexandre Muller,Kyle Edmund,Clay,16,7
Rome Masters,R128,Alexei Popyrin,Christopher Oconnell,Clay,20,10
Rome Masters,R128,Roman Safiullin,Marcos Giron,Clay,19,5
Rome Masters,R128,Fabio Fognini,Andy Murray,Clay,30,10
Rome Masters,R128,Arthur Fils,Juan Manuel Cerundolo,Clay,24,9
Rome Masters,R128,Arthur Rinderknech,Flavio Cobolli,Clay,19,10
Rome Masters,R128,Alexander Bublik,Pedro Martinez,Clay,21,15
Rome Masters,R128,Laslo Djere,Constant Lestienne,Clay,7,3
Rome Masters,R128,Cristian Garin,Pedro Cachin,Clay,31,13
Rome Masters,R128,Gregoire Barrere,Brandon Nakashima,Clay,18,9
Rome Masters,R128,Yibing Wu,Richard Gasquet,Clay,27,9
Rome Masters,R128,Sebastian Baez,Juan Pablo Varillas,Clay,21,5
Rome Masters,R128,Thanasi Kokkinakis,Jaume Munar,Clay,6,4
Rome Masters,R128,Alex Molcan,Stefano Napolitano,Clay,31,14
Rome Masters,R128,Guido Pella,Maxime Cressy,Clay,19,6
Rome Masters,R128,Marco Cecchinato,Mackenzie Mcdonald,Clay,21,3
Rome Masters,R128,Yannick Hanfmann,Nicolas Jarry,Clay,20,7
Rome Masters,R128,J J Wolf,Hugo Grenier,Clay,24,11
Rome Masters,R128,David Goffin,Luca Nardi,Clay,27,6
Rome Masters,R128,Jason Kubler,Marc Andrea Huesler,Clay,30,9
Rome Masters,R128,Emil Ruusuvuori,Ugo Humbert,Clay,31,16
Rome Masters,R128,Nuno Borges,Dusan Lajovic,Clay,17,4
Rome Masters,R128,Lorenzo Sonego,Jeremy Chardy,Clay,15,3
Rome Masters,R128,Matteo Arnaldi,Diego Schwartzman,Clay,26,4
Rome Masters,R128,Daniel Altmaier,Giulio Zeppieri,Clay,28,3
Rome Masters,R128,Thiago Monteiro,Adrian Mannarino,Clay,15,5
Rome Masters,R128,Roberto Carballes Baena,Hugo Dellien,Clay,17,0
Rome Masters,R128,Fabian Marozsan,Corentin Moutet,Clay,26,2
Rome Masters,R128,Albert Ramos,Francesco Passaro,Clay,27,7
Geneva,F,Nicolas Jarry,Grigor Dimitrov,Clay,19,16
Geneva,SF,Nicolas Jarry,Alexander Zverev,Clay,21,13
Geneva,SF,Grigor Dimitrov,Taylor Fritz,Clay,33,21
Geneva,QF,Nicolas Jarry,Casper Ruud,Clay,33,15
Geneva,QF,Alexander Zverev,Yibing Wu,Clay,5,2
Geneva,QF,Grigor Dimitrov,Christopher Oconnell,Clay,34,20
Geneva,QF,Taylor Fritz,Ilya Ivashka,Clay,15,6
Geneva,R16,Casper Ruud,J J Wolf,Clay,21,12
Geneva,R16,Alexander Zverev,Christopher Eubanks,Clay,17,9
Geneva,R16,Yibing Wu,Marco Cecchinato,Clay,21,2
Geneva,R16,Christopher Oconnell,Bernabe Zapata Miralles,Clay,9,4
Geneva,R16,Grigor Dimitrov,Roberto Carballes Baena,Clay,17,7
Geneva,R16,Ilya Ivashka,Adrian Mannarino,Clay,29,5
Geneva,R16,Taylor Fritz,Marcos Giron,Clay,27,12
Geneva,R32,J J Wolf,Hugo Dellien,Clay,18,6
Geneva,R32,Nicolas Jarry,Dusan Lajovic,Clay,18,10
Geneva,R32,Tallon Griekspoor,Stefano Travaglia,Clay,24,10
Geneva,R32,Christopher Eubanks,Benoit Paire,Clay,21,8
Geneva,R32,Yibing Wu,Marc Andrea Huesler,Clay,32,12
Geneva,R32,Marco Cecchinato,Ben Shelton,Clay,28,15
Geneva,R32,Bernabe Zapata Miralles,Vitaliy Sachko,Clay,18,3
Geneva,R32,Christopher Oconnell,Nino Serdarusic,Clay,31,16
Geneva,R32,Roberto Carballes Baena,Daniel Rincon,Clay,26,4
Geneva,R32,Adrian Mannarino,Filip Krajinovic,Clay,19,11
Geneva,R32,Ilya Ivashka,Guido Pella,Clay,22,7
Geneva,R32,Marcos Giron,Alexander Bublik,Clay,16,8
Lyon,F,Arthur Fils,Francisco Cerundolo,Clay,21,3
Lyon,SF,Arthur Fils,Brandon Nakashima,Clay,34,16
Lyon,SF,Francisco Cerundolo,Cameron Norrie,Clay,15,4
Lyon,QF,Brandon Nakashima,Tommy Paul,Clay,21,13
Lyon,QF,Francisco Cerundolo,Jack Draper,Clay,29,5
Lyon,QF,Cameron Norrie,Sebastian Baez,Clay,23,4
Lyon,R16,Felix Auger Aliassime,Pablo Llamas Ruiz,Clay,20,8
Lyon,R16,Arthur Fils,Mikael Ymer,Clay,11,1
Lyon,R16,Tommy Paul,Gregoire Barrere,Clay,31,8
Lyon,R16,Brandon Nakashima,Arthur Rinderknech,Clay,31,19
Lyon,R16,Jack Draper,Miomir Kecmanovic,Clay,22,8
Lyon,R16,Francisco Cerundolo,Juan Pablo Varillas,Clay,8,0
Lyon,R16,Sebastian Baez,Pedro Cachin,Clay,29,6
Lyon,R16,Cameron Norrie,David Goffin,Clay,19,6
Lyon,R32,Pablo Llamas Ruiz,Max Purcell,Clay,29,6
Lyon,R32,Arthur Fils,Zhizhen Zhang,Clay,17,12
Lyon,R32,Mikael Ymer,Richard Gasquet,Clay,21,8
Lyon,R32,Gregoire Barrere,Corentin Moutet,Clay,18,5
Lyon,R32,Arthur Rinderknech,Lloyd Harris,Clay,18,4
Lyon,R32,Brandon Nakashima,Diego Schwartzman,Clay,21,4
Lyon,R32,Miomir Kecmanovic,Oriol Roca Batalla,Clay,16,7
Lyon,R32,Jack Draper,Alexandre Muller,Clay,17,6
Lyon,R32,Juan Pablo Varillas,Albert Ramos,Clay,31,15
Lyon,R32,Sebastian Baez,Marton Fucsovics,Clay,22,2
Lyon,R32,Pedro Cachin,Gael Monfils,Clay,27,7
Lyon,R32,David Goffin,Alvaro Lopez San Martin,Clay,16,7
Roland Garros,R128,Carlos Alcaraz,Flavio Cobolli,Clay,26,4
Roland Garros,R128,Taro Daniel,Christopher Oconnell,Clay,24,6
Roland Garros,R128,Matteo Arnaldi,Daniel Elahi Galan,Clay,31,9
Roland Garros,R128,Denis Shapovalov,Brandon Nakashima,Clay,50,10
Roland Garros,R128,Lorenzo Musetti,Mikael Ymer,Clay,30,6
Roland Garros,R128,Alexander Shevchenko,Oscar Otte,Clay,41,14
Roland Garros,R128,Lucas Pouille,Jurij Rodionov,Clay,27,6
Roland Garros,R128,Cameron Norrie,Benoit Paire,Clay,48,21
Roland Garros,R128,Fabio Fognini,Felix Auger Aliassime,Clay,29,7
Roland Garros,R128,Jason Kubler,Facundo Diaz Acosta,Clay,42,8
Roland Garros,R128,Sebastian Ofner,Maxime Cressy,Clay,30,21
Roland Garros,R128,Sebastian Korda,Mackenzie Mcdonald,Clay,32,10
Roland Garros,R128,Diego Schwartzman,Bernabe Zapata Miralles,Clay,43,5
Roland Garros,R128,Nuno Borges,John Isner,Clay,56,43
Roland Garros,R128,Roberto Carballes Baena,Eduardo Nava,Clay,29,4
Roland Garros,R128,Stefanos Tsitsipas,Jiri Vesely,Clay,43,23
Roland Garros,R128,Novak Djokovic,Aleksandar Kovacevic,Clay,29,17
Roland Garros,R128,Marton Fucsovics,Hugo Grenier,Clay,37,11
Roland Garros,R128,Luca Van Assche,Marco Cecchinato,Clay,23,4
Roland Garros,R128,Alejandro Davidovich Fokina,Arthur Fils,Clay,35,6
Roland Garros,R128,Roberto Bautista Agut,Yibing Wu,Clay,26,8
Roland Garros,R128,Juan Pablo Varillas,Juncheng Shang,Clay,42,6
Roland Garros,R128,Tallon Griekspoor,Pedro Martinez,Clay,45,11
Roland Garros,R128,Hubert Hurkacz,David Goffin,Clay,49,18
Roland Garros,R128,Karen Khachanov,Constant Lestienne,Clay,40,17
Roland Garros,R128,Radu Albot,Patrick Kypson,Clay,34,4
Roland Garros,R128,Stan Wawrinka,Albert Ramos,Clay,51,21
Roland Garros,R128,Thanasi Kokkinakis,Daniel Evans,Clay,30,13
Roland Garros,R128,Lorenzo Sonego,Ben Shelton,Clay,37,7
Roland Garros,R128,Ugo Humbert,Adrian Mannarino,Clay,25,11
Roland Garros,R128,Corentin Moutet,Arthur Cazaux,Clay,36,7
Roland Garros,R128,Andrey Rublev,Laslo Djere,Clay,35,15
Roland Garros,R128,Holger Rune,Christopher Eubanks,Clay,39,17
Roland Garros,R128,Gael Monfils,Sebastian Baez,Clay,49,7
Roland Garros,R128,Genaro Alberto Olivieri,Giovanni Mpetshi Perricard,Clay,51,13
Roland Garros,R128,Andrea Vavassori,Miomir Kecmanovic,Clay,56,19
Roland Garros,R128,Francisco Cerundolo,Jaume Munar,Clay,34,3
Roland Garros,R128,Yannick Hanfmann,Thiago Monteiro,Clay,54,23
Roland Garros,R128,Arthur Rinderknech,Richard Gasquet,Clay,35,14
Roland Garros,R128,Taylor Fritz,Michael Mmoh,Clay,22,16
Roland Garros,R128,Tommy Paul,Dominic Stricker,Clay,27,3
Roland Garros,R128,Nicolas Jarry,Hugo Dellien,Clay,28,14
Roland Garros,R128,Marcos Giron,Hamad Medjedovic,Clay,27,9
Roland Garros,R128,Jiri Lehecka,Jan Lennard Struff,Clay,44,16
Roland Garros,R128,Thiago Agustin Tirante,Botic Van De Zandschulp,Clay,37,4
Roland Garros,R128,Zhizhen Zhang,Dusan Lajovic,Clay,12,2
Roland Garros,R128,Giulio Zeppieri,Alexander Bublik,Clay,47,25
Roland Garros,R128,Casper Ruud,Elias Ymer,Clay,27,6
Roland Garros,R128,Jannik Sinner,Alexandre Muller,Clay,24,8
Roland Garros,R128,Daniel Altmaier,Marc Andrea Huesler,Clay,29,12
Roland Garros,R128,Emil Ruusuvuori,Gregoire Barrere,Clay,49,20
Roland Garros,R128,Grigor Dimitrov,Timofey Skatov,Clay,23,10
Roland Garros,R128,Alexander Zverev,Lloyd Harris,Clay,31,17
Roland Garros,R128,Alex Molcan,Hugo Gaston,Clay,29,10
Roland Garros,R128,Aslan Karatsev,Alexei Popyrin,Clay,36,16
Roland Garros,R128,Frances Tiafoe,Filip Krajinovic,Clay,27,19
Roland Garros,R128,Borna Coric,Federico Coria,Clay,42,14
Roland Garros,R128,Pedro Cachin,Dominic Thiem,Clay,47,11
Roland Garros,R128,Tomas Martin Etcheverry,Jack Draper,Clay,11,1
Roland Garros,R128,Alex De Minaur,Ilya Ivashka,Clay,35,8
Roland Garros,R128,Yoshihito Nishioka,J J Wolf,Clay,44,10
Roland Garros,R128,Max Purcell,Jordan Thompson,Clay,39,13
Roland Garros,R128,Guido Pella,Quentin Halys,Clay,54,23
Roland Garros,R128,Thiago Seyboth Wild,Daniil Medvedev,Clay,51,16
Roland Garros,R64,Carlos Alcaraz,Taro Daniel,Clay,31,2
Roland Garros,R64,Denis Shapovalov,Matteo Arnaldi,Clay,35,4
Roland Garros,R64,Lorenzo Musetti,Alexander Shevchenko,Clay,22,2
Roland Garros,R64,Cameron Norrie,Lucas Pouille,Clay,25,4
Roland Garros,R64,Fabio Fognini,Jason Kubler,Clay,30,6
Roland Garros,R64,Sebastian Ofner,Sebastian Korda,Clay,31,8
Roland Garros,R64,Diego Schwartzman,Nuno Borges,Clay,31,5
Roland Garros,R64,Stefanos Tsitsipas,Roberto Carballes Baena,Clay,29,6
Roland Garros,R64,Novak Djokovic,Marton Fucsovics,Clay,18,3
Roland Garros,R64,Alejandro Davidovich Fokina,Luca Van Assche,Clay,31,5
Roland Garros,R64,Juan Pablo Varillas,Roberto Bautista Agut,Clay,40,11
Roland Garros,R64,Hubert Hurkacz,Tallon Griekspoor,Clay,55,24
Roland Garros,R64,Karen Khachanov,Radu Albot,Clay,27,10
Roland Garros,R64,Thanasi Kokkinakis,Stan Wawrinka,Clay,50,24
Roland Garros,R64,Lorenzo Sonego,Ugo Humbert,Clay,31,4
Roland Garros,R64,Andrey Rublev,Corentin Moutet,Clay,36,8
Roland Garros,R64,Genaro Alberto Olivieri,Andrea Vavassori,Clay,43,13
Roland Garros,R64,Francisco Cerundolo,Yannick Hanfmann,Clay,28,10
Roland Garros,R64,Taylor Fritz,Arthur Rinderknech,Clay,37,15
Roland Garros,R64,Nicolas Jarry,Tommy Paul,Clay,38,8
Roland Garros,R64,Marcos Giron,Jiri Lehecka,Clay,25,8
Roland Garros,R64,Zhizhen Zhang,Thiago Agustin Tirante,Clay,31,11
Roland Garros,R64,Casper Ruud,Giulio Zeppieri,Clay,39,11
Roland Garros,R64,Daniel Altmaier,Jannik Sinner,Clay,54,21
Roland Garros,R64,Grigor Dimitrov,Emil Ruusuvuori,Clay,31,10
Roland Garros,R64,Alexander Zverev,Alex Molcan,Clay,25,6
Roland Garros,R64,Frances Tiafoe,Aslan Karatsev,Clay,38,22
Roland Garros,R64,Borna Coric,Pedro Cachin,Clay,48,7
Roland Garros,R64,Tomas Martin Etcheverry,Alex De Minaur,Clay,30,3
Roland Garros,R64,Yoshihito Nishioka,Max Purcell,Clay,40,9
Roland Garros,R64,Thiago Seyboth Wild,Guido Pella,Clay,37,9
Roland Garros,R32,Carlos Alcaraz,Denis Shapovalov,Clay,25,0
Roland Garros,R32,Lorenzo Musetti,Cameron Norrie,Clay,25,4
Roland Garros,R32,Sebastian Ofner,Fabio Fognini,Clay,50,6
Roland Garros,R32,Stefanos Tsitsipas,Diego Schwartzman,Clay,25,7
Roland Garros,R32,Novak Djokovic,Alejandro Davidovich Fokina,Clay,32,4
Roland Garros,R32,Juan Pablo Varillas,Hubert Hurkacz,Clay,48,15
Roland Garros,R32,Karen Khachanov,Thanasi Kokkinakis,Clay,38,11
Roland Garros,R32,Lorenzo Sonego,Andrey Rublev,Clay,48,17
Roland Garros,R32,Holger Rune,Genaro Alberto Olivieri,Clay,26,6
Roland Garros,R32,Francisco Cerundolo,Taylor Fritz,Clay,40,10
Roland Garros,R32,Nicolas Jarry,Marcos Giron,Clay,38,21
Roland Garros,R32,Casper Ruud,Zhizhen Zhang,Clay,37,12
Roland Garros,R32,Grigor Dimitrov,Daniel Altmaier,Clay,26,7
Roland Garros,R32,Alexander Zverev,Frances Tiafoe,Clay,40,16
Roland Garros,R32,Tomas Martin Etcheverry,Borna Coric,Clay,29,8
Roland Garros,R32,Yoshihito Nishioka,Thiago Seyboth Wild,Clay,45,12
Roland Garros,R16,Carlos Alcaraz,Lorenzo Musetti,Clay,25,8
Roland Garros,R16,Stefanos Tsitsipas,Sebastian Ofner,Clay,27,7
Roland Garros,R16,Novak Djokovic,Juan Pablo Varillas,Clay,25,10
Roland Garros,R16,Karen Khachanov,Lorenzo Sonego,Clay,36,20
Roland Garros,R16,Holger Rune,Francisco Cerundolo,Clay,50,13
Roland Garros,R16,Casper Ruud,Nicolas Jarry,Clay,36,21
Roland Garros,R16,Alexander Zverev,Grigor Dimitrov,Clay,26,4
Roland Garros,R16,Tomas Martin Etcheverry,Yoshihito Nishioka,Clay,25,15
Roland Garros,QF,Carlos Alcaraz,Stefanos Tsitsipas,Clay,27,11
Roland Garros,QF,Novak Djokovic,Karen Khachanov,Clay,40,18
Roland Garros,QF,Casper Ruud,Holger Rune,Clay,33,6
Roland Garros,QF,Alexander Zverev,Tomas Martin Etcheverry,Clay,38,15
Roland Garros,SF,Novak Djokovic,Carlos Alcaraz,Clay,35,11
Roland Garros,SF,Casper Ruud,Alexander Zverev,Clay,25,8
Roland Garros,F,Novak Djokovic,Casper Ruud,Clay,33,15
s Hertogenbosch,F,Tallon Griekspoor,Jordan Thompson,Grass,33,21
s Hertogenbosch,SF,Jordan Thompson,Rinky Hijikata,Grass,21,7
s Hertogenbosch,SF,Tallon Griekspoor,Emil Ruusuvuori,Grass,22,21
s Hertogenbosch,QF,Jordan Thompson,Adrian Mannarino,Grass,32,16
s Hertogenbosch,QF,Rinky Hijikata,Mackenzie Mcdonald,Grass,28,13
s Hertogenbosch,QF,Tallon Griekspoor,Alex De Minaur,Grass,29,22
s Hertogenbosch,QF,Emil Ruusuvuori,Jannik Sinner,Grass,19,5
s Hertogenbosch,R16,Adrian Mannarino,Daniil Medvedev,Grass,28,9
s Hertogenbosch,R16,Jordan Thompson,Milos Raonic,Grass,19,14
s Hertogenbosch,R16,Mackenzie Mcdonald,Borna Coric,Grass,20,9
s Hertogenbosch,R16,Rinky Hijikata,Marc Andrea Huesler,Grass,29,14
s Hertogenbosch,R16,Tallon Griekspoor,Alexei Popyrin,Grass,17,10
s Hertogenbosch,R16,Alex De Minaur,Laslo Djere,Grass,28,14
s Hertogenbosch,R16,Emil Ruusuvuori,Ugo Humbert,Grass,30,15
s Hertogenbosch,R16,Jannik Sinner,Alexander Bublik,Grass,18,17
s Hertogenbosch,R32,Adrian Mannarino,Arthur Fils,Grass,22,16
s Hertogenbosch,R32,Jordan Thompson,Giovanni Mpetshi Perricard,Grass,22,18
s Hertogenbosch,R32,Milos Raonic,Miomir Kecmanovic,Grass,19,19
s Hertogenbosch,R32,Mackenzie Mcdonald,Ilya Ivashka,Grass,19,10
s Hertogenbosch,R32,Rinky Hijikata,Gijs Brouwer,Grass,29,20
s Hertogenbosch,R32,Marc Andrea Huesler,Maxime Cressy,Grass,20,16
s Hertogenbosch,R32,Tallon Griekspoor,Mikael Ymer,Grass,26,13
s Hertogenbosch,R32,Alexei Popyrin,Arthur Rinderknech,Grass,21,15
s Hertogenbosch,R32,Laslo Djere,Ricardas Berankis,Grass,18,11
s Hertogenbosch,R32,Ugo Humbert,Jason Kubler,Grass,18,16
s Hertogenbosch,R32,Emil Ruusuvuori,Brandon Nakashima,Grass,27,14
s Hertogenbosch,R32,Alexander Bublik,David Goffin,Grass,24,9
Stuttgart,F,Frances Tiafoe,Jan Lennard Struff,Grass,34,41
Stuttgart,SF,Jan Lennard Struff,Hubert Hurkacz,Grass,27,32
Stuttgart,SF,Frances Tiafoe,Marton Fucsovics,Grass,21,17
Stuttgart,QF,Jan Lennard Struff,Richard Gasquet,Grass,22,25
Stuttgart,QF,Hubert Hurkacz,Christopher Oconnell,Grass,20,21
Stuttgart,QF,Frances Tiafoe,Lorenzo Musetti,Grass,32,27
Stuttgart,QF,Marton Fucsovics,Taylor Fritz,Grass,22,12
Stuttgart,R16,Richard Gasquet,Stefanos Tsitsipas,Grass,32,24
Stuttgart,R16,Jan Lennard Struff,Tommy Paul,Grass,24,31
Stuttgart,R16,Hubert Hurkacz,Yosuke Watanuki,Grass,34,48
Stuttgart,R16,Christopher Oconnell,Lorenzo Sonego,Grass,21,18
Stuttgart,R16,Lorenzo Musetti,Gregoire Barrere,Grass,18,12
Stuttgart,R16,Frances Tiafoe,Jiri Lehecka,Grass,22,17
Stuttgart,R16,Marton Fucsovics,Yibing Wu,Grass,30,9
Stuttgart,R16,Taylor Fritz,Aslan Karatsev,Grass,21,24
Stuttgart,R32,Richard Gasquet,Christopher Eubanks,Grass,22,21
Stuttgart,R32,Jan Lennard Struff,Zhizhen Zhang,Grass,17,11
Stuttgart,R32,Tommy Paul,Benjamin Bonzi,Grass,19,9
Stuttgart,R32,Yosuke Watanuki,Feliciano Lopez,Grass,21,29
Stuttgart,R32,Christopher Oconnell,Daniel Altmaier,Grass,16,10
Stuttgart,R32,Lorenzo Sonego,Matteo Berrettini,Grass,15,8
Stuttgart,R32,Lorenzo Musetti,Borna Gojo,Grass,21,16
Stuttgart,R32,Gregoire Barrere,Oscar Otte,Grass,19,12
Stuttgart,R32,Jiri Lehecka,Marcos Giron,Grass,29,22
Stuttgart,R32,Yibing Wu,Nick Kyrgios,Grass,21,20
Stuttgart,R32,Marton Fucsovics,Denis Shapovalov,Grass,28,9
Stuttgart,R32,Aslan Karatsev,Corentin Moutet,Grass,36,22
Halle,F,Alexander Bublik,Andrey Rublev,Grass,27,32
Halle,SF,Andrey Rublev,Roberto Bautista Agut,Grass,19,15
Halle,SF,Alexander Bublik,Alexander Zverev,Grass,21,23
Halle,QF,Roberto Bautista Agut,Daniil Medvedev,Grass,24,12
Halle,QF,Andrey Rublev,Tallon Griekspoor,Grass,28,29
Halle,QF,Alexander Bublik,Jannik Sinner,Grass,14,8
Halle,QF,Alexander Zverev,Nicolas Jarry,Grass,21,18
Halle,R16,Daniil Medvedev,Laslo Djere,Grass,30,16
Halle,R16,Roberto Bautista Agut,Brandon Nakashima,Grass,24,13
Halle,R16,Andrey Rublev,Yannick Hanfmann,Grass,21,10
Halle,R16,Tallon Griekspoor,Hubert Hurkacz,Grass,28,25
Halle,R16,Alexander Bublik,Jan Lennard Struff,Grass,30,37
Halle,R16,Jannik Sinner,Lorenzo Sonego,Grass,32,18
Halle,R16,Alexander Zverev,Denis Shapovalov,Grass,18,10
Halle,R16,Nicolas Jarry,Stefanos Tsitsipas,Grass,24,16
Halle,R32,Daniil Medvedev,Marcos Giron,Grass,19,16
Halle,R32,Laslo Djere,Oscar Otte,Grass,21,12
Halle,R32,Brandon Nakashima,Mikael Ymer,Grass,32,16
Halle,R32,Roberto Bautista Agut,Andrea Vavassori,Grass,19,9
Halle,R32,Andrey Rublev,Yibing Wu,Grass,30,14
Halle,R32,Yannick Hanfmann,Louis Wessels,Grass,28,13
Halle,R32,Tallon Griekspoor,Roberto Carballes Baena,Grass,20,13
Halle,R32,Hubert Hurkacz,Christopher Eubanks,Grass,31,31
Halle,R32,Alexander Bublik,Borna Coric,Grass,16,16
Halle,R32,Jan Lennard Struff,Roman Safiullin,Grass,19,17
Halle,R32,Lorenzo Sonego,Aslan Karatsev,Grass,25,18
Halle,R32,Jannik Sinner,Richard Gasquet,Grass,29,15
Halle,R32,Alexander Zverev,Dominic Thiem,Grass,19,9
Halle,R32,Denis Shapovalov,Lloyd Harris,Grass,22,18
Halle,R32,Nicolas Jarry,Corentin Moutet,Grass,21,10
Halle,R32,Stefanos Tsitsipas,Gregoire Barrere,Grass,34,20
Queen's Club,F,Carlos Alcaraz,Alex De Minaur,Grass,20,8
Queen's Club,SF,Carlos Alcaraz,Sebastian Korda,Grass,19,11
Queen's Club,SF,Alex De Minaur,Holger Rune,Grass,21,6
Queen's Club,QF,Carlos Alcaraz,Grigor Dimitrov,Grass,20,11
Queen's Club,QF,Sebastian Korda,Cameron Norrie,Grass,22,10
Queen's Club,QF,Alex De Minaur,Adrian Mannarino,Grass,30,6
Queen's Club,QF,Holger Rune,Lorenzo Musetti,Grass,22,9
Queen's Club,R16,Carlos Alcaraz,Jiri Lehecka,Grass,17,8
Queen's Club,R16,Grigor Dimitrov,Francisco Cerundolo,Grass,21,10
Queen's Club,R16,Sebastian Korda,Frances Tiafoe,Grass,21,21
Queen's Club,R16,Cameron Norrie,Jordan Thompson,Grass,27,17
Queen's Club,R16,Alex De Minaur,Diego Schwartzman,Grass,16,0
Queen's Club,R16,Adrian Mannarino,Taylor Fritz,Grass,22,13
Queen's Club,R16,Lorenzo Musetti,Ben Shelton,Grass,30,15
Queen's Club,R16,Holger Rune,Ryan Peniston,Grass,19,7
Queen's Club,R32,Carlos Alcaraz,Arthur Rinderknech,Grass,34,13
Queen's Club,R32,Jiri Lehecka,Alejandro Davidovich Fokina,Grass,21,12
Queen's Club,R32,Grigor Dimitrov,Emil Ruusuvuori,Grass,18,11
